direction,rank,run_family,scenario_name,mechanism,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,path_max_residual_claimed_diff,fairness_gap_nav_per_deposit,reserve_required,releasable_pool,total_residual_claimed,divergence_max_quote_diff_vs_reference,divergence_max_nav_per_deposit_diff_vs_reference,invariant_failures
positive,1,monte_carlo,linear_lambda_0031_mc_0028,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,0.1938120299578539594184808554,0,151.1280046193069173672325622,151.1280046193069173672325622,,,0
positive,2,monte_carlo,linear_lambda_0031_mc_0028,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,1,0,0,0,0.1938120299578539594184808554,0,151.1280046193069173672325622,151.1280046193069173672325622,1.608405871700705350948173080E-26,0,0
positive,3,monte_carlo,linear_lambda_0031_mc_0056,reference_parallel_lmsr_reserve_residual,True,4E-80,True,True,1,0,0,0,0.1812025225065278393526713193,0,161.4998922983885793387826227,161.4998922983885793387826226,,,0
positive,4,monte_carlo,linear_lambda_0031_mc_0056,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,1,0,0,0,0.1812025225065278393526713193,0,161.4998922983885793387826227,161.4998922983885793387826226,1.353201560190050235692361079E-27,0,0
positive,5,monte_carlo,linear_lambda_0031_mc_0027,reference_parallel_lmsr_reserve_residual,True,0.0,True,True,1,0,0,0,0.1200208081254492392154601423,0,230.9042107975752625861958208,230.9042107975752625861958208,,,0
negative,1,monte_carlo,linear_lambda_0031_mc_0037,reference_parallel_lmsr_reserve_residual,True,3.143687057787538093212548344E-29,True,True,1,0,0,0,-0.1973710636160420812791902447,0E-28,393.3598626548193859701623254,393.3598626548193859701623254,,,0
negative,2,monte_carlo,linear_lambda_0031_mc_0037,global_state_fungible_fees_reserve_residual,True,2E-80,True,True,1,0,0,0,-0.1973710636160420812791902443,0E-28,393.3598626548193859701623255,393.3598626548193859701623255,9.467723636119261821283889336E-27,6E-28,0
negative,3,monte_carlo,linear_lambda_0031_mc_0038,global_state_fungible_fees_reserve_residual,True,2E-80,True,True,1,0,0,0,-0.1964810926996415418803286361,0,363.4056723904655939208199528,363.4056723904655939208199528,1.011623775343588854927616804E-26,1E-27,0
negative,4,monte_carlo,linear_lambda_0031_mc_0038,reference_parallel_lmsr_reserve_residual,True,4.538905482157159490687366396E-29,True,True,1,0,0,0,-0.1964810926996415418803286354,0,363.4056723904655939208199527,363.4056723904655939208199527,,,0
negative,5,monte_carlo,linear_lambda_0031_mc_0008,global_state_fungible_fees_reserve_residual,True,2E-80,True,True,1,0,0,0,-0.1739856660680179161949268564,0,469.6511251530314511374296223,469.6511251530314511374296223,6.139490321281634299227956773E-27,1E-28,0
absolute,1,monte_carlo,linear_lambda_0031_mc_0037,reference_parallel_lmsr_reserve_residual,True,3.143687057787538093212548344E-29,True,True,1,0,0,0,-0.1973710636160420812791902447,0E-28,393.3598626548193859701623254,393.3598626548193859701623254,,,0
absolute,2,monte_carlo,linear_lambda_0031_mc_0037,global_state_fungible_fees_reserve_residual,True,2E-80,True,True,1,0,0,0,-0.1973710636160420812791902443,0E-28,393.3598626548193859701623255,393.3598626548193859701623255,9.467723636119261821283889336E-27,6E-28,0
absolute,3,monte_carlo,linear_lambda_0031_mc_0038,global_state_fungible_fees_reserve_residual,True,2E-80,True,True,1,0,0,0,-0.1964810926996415418803286361,0,363.4056723904655939208199528,363.4056723904655939208199528,1.011623775343588854927616804E-26,1E-27,0
absolute,4,monte_carlo,linear_lambda_0031_mc_0038,reference_parallel_lmsr_reserve_residual,True,4.538905482157159490687366396E-29,True,True,1,0,0,0,-0.1964810926996415418803286354,0,363.4056723904655939208199527,363.4056723904655939208199527,,,0
absolute,5,monte_carlo,linear_lambda_0031_mc_0028,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,0.1938120299578539594184808554,0,151.1280046193069173672325622,151.1280046193069173672325622,,,0
absolute,6,monte_carlo,linear_lambda_0031_mc_0028,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,1,0,0,0,0.1938120299578539594184808554,0,151.1280046193069173672325622,151.1280046193069173672325622,1.608405871700705350948173080E-26,0,0
absolute,7,monte_carlo,linear_lambda_0031_mc_0056,reference_parallel_lmsr_reserve_residual,True,4E-80,True,True,1,0,0,0,0.1812025225065278393526713193,0,161.4998922983885793387826227,161.4998922983885793387826226,,,0
absolute,8,monte_carlo,linear_lambda_0031_mc_0056,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,1,0,0,0,0.1812025225065278393526713193,0,161.4998922983885793387826227,161.4998922983885793387826226,1.353201560190050235692361079E-27,0,0
absolute,9,monte_carlo,linear_lambda_0031_mc_0008,global_state_fungible_fees_reserve_residual,True,2E-80,True,True,1,0,0,0,-0.1739856660680179161949268564,0,469.6511251530314511374296223,469.6511251530314511374296223,6.139490321281634299227956773E-27,1E-28,0
absolute,10,monte_carlo,linear_lambda_0031_mc_0008,reference_parallel_lmsr_reserve_residual,True,3.260359541416292103295782211E-29,True,True,1,0,0,0,-0.1739856660680179161949268563,0,469.6511251530314511374296223,469.6511251530314511374296223,,,0
